10200675,,"=LEFT(e2, 1)",01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",'Current Internal','-',Instructor
jockusch,,,01BRAND_INST___CC18500,Department of History,Current Internal,Albert Abramson Associate Professor of Holocaust Studies,Associate Professor
joeassan,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
joel,,,01BRAND_INST___CC12100,Department of Classical Studies,Current Internal,Associate Professor and Chair of Classical Studies,
joel,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
joelcg,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
johnbal,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
johnston,,,01BRAND_INST___CC12100,Department of Classical Studies,Current Internal,Professor Emerita of Classical Studies,Professor Emeritus/a
joness,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,"Deputy Director, COEX and SID Programs",Director
jordan,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,Professor Emeritus of Chemistry,Professor Emeritus/a
joshuagoodman,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
joshuagoodman,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Associate Professor
joyner,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,Instructor in Mathematics,Instructor
jpaulsen,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
jpipkin,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
jpl,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
jpl,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
jpowers,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
jreinhar,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
jreinhar,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
jrudin,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Adjunct Lecturer
jrutenbeck,,,01BRAND_INST___CC27900,"Creativity, the Arts, and Social Transformation Program",Current Internal,,Lecturer
jsantos,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Lecturer
jschlesinger,,,01BRAND_INST___CC10500,School of Arts and Sciences,Current Internal,,Lecturer
jsimon13,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Lecturer
jssuh,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,Assistant Professor
jssuh,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Assistant Professor
jssuh,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Assistant Professor
jstinchcomb,,,01BRAND_INST___CC12100,Department of Classical Studies,Current Internal,,
jstinchcomb,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
jsuaya,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Adjunct Lecturer
jtharaud,,,01BRAND_INST___CC12400,Department of English,Current Internal,,Assistant Professor
jtharaud,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,Assistant Professor
jtharaud,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,Assistant Professor
jtouboul,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,Associate Professor
jtouboul,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,Associate Professor
jtouboul,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,Associate Professor
juboswell,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
judydean,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
judydean,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
juliasmeliansky,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
juliehorwitz,,,01BRAND_INST___CC25000,Education Program,Current Internal,,Adjunct Professor
juliemiller,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
kam1483,,,01BRAND_INST___CC30800,Myra Kraft Transitional Year Program,Current Internal,,Instructor
kammerer,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
kammerer,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
kaniasty,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
kanthan,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
kanthan,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
kardon,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,Assistant Professor of Biochemistry,Assistant Professor
katsh,,,01BRAND_INST___CC25000,Education Program,Current Internal,Lecturer in Education,Lecturer
kchayes,,,01BRAND_INST___01BRAND_INST,Brandeis University,Current Internal,,Director
kchayes,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Professor Emeritus/a
kdesmond,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
kdesmond,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,,
keehn,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,Professor Emeritus of Chemistry,Professor Emeritus/a
keiler,,,01BRAND_INST___CC11200,Department of Music,Current Internal,Professor Emeritus of Music,Professor Emeritus/a
kelikian,,,01BRAND_INST___CC18500,Department of History,Current Internal,Associate Professor of History,Associate Professor
kelikian,,,01BRAND_INST___CC25900,"Film, Television and Interactive Media Program",Current Internal,,
kelikian,,,01BRAND_INST___CC26600,Interdepartmental Program in Italian Studies,Current Internal,,
kellman,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,Associate Professor of Yiddish,Associate Professor
kerenm,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
kestrada,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
kgraddy,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
kgraddy,,,01BRAND_INST___CC43100,International Business School,Current Internal,"Dean of the International Business School, and Fred and Rita Richman Distinguished Professor in Economics",Professor
khadijakhartit,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
khansen,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
khansen,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Professor
khansen,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Professor
khashaba,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
kimelman,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
kimelman,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
kirklipscomb,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
kirsch,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,Professor Emeritus of Physics,Professor Emeritus/a
kkivl0001,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
kklein,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
klausen,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,Lawrence A. Wien Professor of International Cooperation,Professor
klausen,,,01BRAND_INST___CC25800,Interdepartmental Program in European Cultural Studies,Current Internal,,
kleinboc,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
klobo,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
klsmith,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
klucken,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,
klucken,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,
klucken,,,01BRAND_INST___CC27400,Religious Studies Program,Current Internal,,
kmascall,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,
kmcqueen,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
kmoran,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,
knight2,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
kondev,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,"William R. Kenan, Jr. Professor of Physics",Professor
kosinski,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Professor of Biology,Professor
kpiasta,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
kplaster,,,01BRAND_INST___CC26900,Linguistics and Computational Linguistics,Current Internal,,
krauss,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,John Stein Professor of Disability Research,Professor Emeritus/a
kraussi,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,Professor of Chemistry,Professor
krishnag,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
krnerp,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
krothstein,,,01BRAND_INST___CC26700,Journalism Program,Current Internal,,Lecturer
kround,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
krstansk,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
krstansk,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
krstansk,,,01BRAND_INST___CC25900,"Film, Television and Interactive Media Program",Current Internal,,
kryder,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
kryder,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
kryder,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,Louis Stulberg Chair in Law and Politics,
kschumacher,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,,Lecturer
kschumacher,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
kseidlgo,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Associate Professor
kturpin,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Lecturer
kustin,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,
lachman,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,Minnie and Harold Fierman Professor of Psychology,Professor
lachman,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
lackner,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,Meshulam and Judith Riklis Professor of Physiology,Professor
lackner,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
lackner,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
lamb,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,"Professor of Anthropology, Women's, Gender, and Sexuality Studies",Professor
lamb,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,
lamb,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
lamb,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,Barbara Mandel Professor of the Humanistic Social Sciences,Professor
lamb,,,01BRAND_INST___CC27400,Religious Studies Program,Current Internal,,
lamb,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,"Member, Brandeis's Lifespan Initiative on Healthy Aging",
lamiller,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,
lampham,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
lange,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
lanser,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
lanser,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
lansing,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
larson,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Senior Scientist and Lecturer,Senior Scientist
laurenwoods,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,Assistant Professor
laurlic,,,01BRAND_INST___CC27700,Graduate Program in Genetic Counseling,Current Internal,,
lbate0001,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
lbeals,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
lbloch,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
lbloch,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
lcbrown,,,01BRAND_INST___CC26800,Latin American and Latino Studies Program,Current Internal,,
ldropkin,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,
leahgordon,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
leahgordon,,,01BRAND_INST___CC25000,Education Program,Current Internal,,Professor
leahw,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Associate Professor
lebrowne,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
lebrowne,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
lenowitz,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Assistant Professor
lenowitz,,,01BRAND_INST___CC26200,History of Ideas Program,Current Internal,,
ler,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Lecturer
leutz,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
levin,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
levisohn,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
levy,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
lfloreslee,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
lgoodhar,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
lgoodhar,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,Lecturer
lhibbler,,,01BRAND_INST___Library,Library,Current Internal,Associate University Librarian for Research & Instruction,
lhindman,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
lian,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
lichtman,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
lignos,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
lishi87,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
liuba,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,Professor
liuba,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,Professor
lkaye,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,Associate Professor of Rabbinic Literature and Thought,Associate Professor
llocher,,,01BRAND_INST___CC27600,Social Justice and Social Policy Program,Current Internal,,
lmgold,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
lmgold,,,01BRAND_INST___CC26900,Linguistics and Computational Linguistics,Current Internal,,Professor
lmlynch,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,Maurice B. Hexter Professor of Social and Economic Policy,
lmlynch,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
lovett,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Abraham S. and Gertrude Burg Professor of Microbiology,
lovett,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
lowry,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
lpanas,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
lreyes,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
lrourke,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,Assistant Professor
lsantini,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,Lecturer
lstoller,,,01BRAND_INST___CC43100,International Business School,Current Internal,Senior Lecturer in the Brandeis International Business School,
ltbui,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
ltbui,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
ltbui,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
luis,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
luis,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
mairson,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
mairson,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
makbari,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
maling,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
maling,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,Professor Emeritus/a
mandrell,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
mandrell,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
mandrell,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
mandrell,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
mandrell,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
mandrell,,,01BRAND_INST___CC26800,Latin American and Latino Studies Program,Current Internal,,
marcelle,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,Assistant Professor
marcw,,,01BRAND_INST___CC12400,Department of English,Current Internal,Adjunct Assistant Professor of English, Adjunct Assistant Professor
marder,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
marder,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
marder,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,Victor and Gwendolyn Beinfield Professor,
maric,,,01BRAND_INST___Library,Library,Current Internal,,
markcoleman,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
marthalagace,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
martycs,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
marusic,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,
matthewmitchell,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,
matthewokazaki,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
mauratighe,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
mayada,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Lecturer
mayer,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
mberger,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
mboumil,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
mboxer,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,,
mcaraccioli,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
mcclendo,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
mcclendo,,,01BRAND_INST___CC26600,Interdepartmental Program in Italian Studies,Current Internal,,
mcclendo,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,,
mcharnerlaird,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
mckittr,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
mcpeacock,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
mduran,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
mduran,,,01BRAND_INST___CC26800,Latin American and Latino Studies Program,Current Internal,,
mead,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,Professor of the Practice
mead,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,,
meden,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
meden,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
mederos,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
meneva17,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
mengnansunny,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
mepandelia,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,,
mepandelia,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
merrill2,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
meschede,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
mew,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Senior Lecturer
meyer,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
mfc,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
mfc,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
mfeeney,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
mfitzd,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
mgkatz,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
mgkatz,,,01BRAND_INST___CC43100,International Business School,Current Internal,Adjunct Professor in the Brandeis International Business School,Adjunct Professor
mhurd,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,Lecturer
michaelgauthier,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
mirosen,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,,
mirsky,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
mkrumpak,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
mlevenso,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
mlevenso,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
mmarr,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
mmarr,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
mmckay,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
mmeteer,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
mmeteer,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
mmeteer,,,01BRAND_INST___CC26900,Linguistics and Computational Linguistics,Current Internal,,
mmiara,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
mmitra,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
mmunsell,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
mnourse,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
molinsky,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
molinsky,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
monifahie,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
monsky,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
moody,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
mooneyd,,,01BRAND_INST___CC25900,"Film, Television and Interactive Media Program",Current Internal,,
mooneyd,,,01BRAND_INST___CC27900,"Creativity, the Arts, and Social Transformation Program",Current Internal,,
motoikatsumata,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
motoikatsumata,,,01BRAND_INST___CC25600,East Asian Studies Program,Current Internal,Madeleine Haas Russell Visiting Professor in the East Asian Studies Program,Visiting Professor
mpapa,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
mpetit,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
mpetit,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
mrazavi,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Scientist and Lecturer,
msokolof,,,01BRAND_INST___CC25000,Education Program,Current Internal,,Lecturer
mstewart,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Lecturer
mstrand,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Assistant Professor
mtamaki,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Lecturer
mtm,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
muellner,,,01BRAND_INST___CC12100,Department of Classical Studies,Current Internal,,
mullerh,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,
mullerh,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
mullerh,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,
murray,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,
musegade,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
musegade,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
mvenezia,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
mwhoward,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor Emeritus/a
nanarm,,,01BRAND_INST___01BRAND_INST,Brandeis University,Current Internal,, Adjunct Assistant Professor
nanarm,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
nblumberg,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
nboyson,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
negreene,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,Lecturer
neilswidey,,,01BRAND_INST___CC26700,Journalism Program,Current Internal,,Professor
nelson,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Gyula and Katica Tauber Professor of Life Science,
nelson,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
nelson,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
nesa,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,Senior Lecturer
nhabibi,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,Senior Lecturer
nhabibi,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Professor
nicastro,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
niels,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,,
nieren,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
nieske,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
nikkola,,,01BRAND_INST___CC27700,Graduate Program in Genetic Counseling,Current Internal,,
nlau,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Visiting Assistant Professor of Biology,Visiting Professor
nmalik88,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
nmenon,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,
nmenon,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
nmenon,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
nmenon,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
nmenon,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
nobleal,,,01BRAND_INST___CC27700,Graduate Program in Genetic Counseling,Current Internal,,
nobleal,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
noonze,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
novack,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,
nyangoni,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
nyangoni,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
odonnell,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
