Primary_Identifier,Affiliation_Unit_Code,Affiliation_Unit_Name,Affiliation_Unit_Type,Affiliation_Position,Affiliation_Position_Title,,
lbeals,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
lbloch,CC18200,American Studies Program,Current_Internal,,,,
lbloch,CC18300,Department of Anthropology,Current_Internal,,,,
lcbrown,CC26800,Latin American and Latino Studies Program,Current_Internal,,,,
ldropkin,CC25100,Legal Studies Program,Current_Internal,,,,
leahgordon,CC18500,Department of History,Current_Internal,,,,
leahgordon,CC25000,Education Program,Current_Internal,Professor,,,
leahw,CC18500,Department of History,Current_Internal,Associate Professor,,,
lebrowne,CC18400,Department of Economics,Current_Internal,,,,
lebrowne,CC43100,International Business School,Current_Internal,,,,
lenowitz,CC18600,Department of Politics,Current_Internal,Assistant Professor,,,
lenowitz,CC26200,History of Ideas Program,Current_Internal,,,,
ler,CC40100,Heller School for Social Policy and Management,Current_Internal,Lecturer,,,
leutz,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
levin,CC18600,Department of Politics,Current_Internal,,,,
levisohn,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
levy,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
lfloreslee,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
lgoodhar,CC18600,Department of Politics,Current_Internal,,,,
lgoodhar,CC26300,International and Global Studies Program,Current_Internal,Lecturer,,,
lhibbler,Library,Library,Current_Internal,,Associate University Librarian for Research & Instruction,,
lhindman,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
lian,CC16700,Department of Mathematics,Current_Internal,,,,
lichtman,CC11100,Department of Fine Arts,Current_Internal,,,,
lignos,CC16600,Michtom School of Computer Science,Current_Internal,,,,
lishi87,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
liuba,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Professor,,,
liuba,CC16600,Michtom School of Computer Science,Current_Internal,Professor,,,
lkaye,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Associate Professor,Associate Professor of Rabbinic Literature and Thought,,
llocher,CC27600,Social Justice and Social Policy Program,Current_Internal,,,,
lmgold,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
lmgold,CC26900,Linguistics and Computational Linguistics,Current_Internal,Professor,,,
lmlynch,CC18400,Department of Economics,Current_Internal,,Maurice B. Hexter Professor of Social and Economic Policy,,
lmlynch,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
lovett,CC16200,Department of Biology,Current_Internal,,Abraham S. and Gertrude Burg Professor of Microbiology,,
lovett,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
lowry,CC11400,Department of Theater Arts,Current_Internal,,,,
lpanas,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
lreyes,CC12500,Department of Romance Studies,Current_Internal,,,,
lrourke,CC12450,University Writing Program,Current_Internal,Assistant Professor,,,
lsantini,CC18300,Department of Anthropology,Current_Internal,Lecturer,,,
lstoller,CC43100,International Business School,Current_Internal,,Senior Lecturer in the Brandeis International Business School,,
ltbui,CC18400,Department of Economics,Current_Internal,,,,
ltbui,CC25700,Environmental Studies Program,Current_Internal,,,,
ltbui,CC43100,International Business School,Current_Internal,,,,
luis,CC18300,Department of Anthropology,Current_Internal,,,,
luis,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
mairson,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
mairson,CC16600,Michtom School of Computer Science,Current_Internal,,,,
makbari,CC18400,Department of Economics,Current_Internal,,,,
maling,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Professor Emeritus/a,,,
maling,CC18700,Department of Psychology,Current_Internal,,,,
mandrell,CC18200,American Studies Program,Current_Internal,,,,
mandrell,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
mandrell,CC12500,Department of Romance Studies,Current_Internal,,,,
mandrell,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
mandrell,CC26800,Latin American and Latino Studies Program,Current_Internal,,,,
mandrell,CC12450,University Writing Program,Current_Internal,,,,
marcelle,CC16800,Martin A. Fisher School of Physics,Current_Internal,Assistant Professor,,,
marcw,CC12400,Department of English,Current_Internal,Adjunct Assistant Professor,,,
marder,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
marder,CC16200,Department of Biology,Current_Internal,,,,
marder,CC27200,Neuroscience Program,Current_Internal,,Victor and Gwendolyn Beinfield Professor,,
maric,Library,Library,Current_Internal,,,,
markcoleman,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
marthalagace,CC12450,University Writing Program,Current_Internal,,,,
martycs,CC16600,Michtom School of Computer Science,Current_Internal,,,,
marusic,CC12300,Department of Philosophy,Current_Internal,,,,
matthewmitchell,CC25100,Legal Studies Program,Current_Internal,,,,
matthewokazaki,CC11100,Department of Fine Arts,Current_Internal,,,,
mauratighe,CC11400,Department of Theater Arts,Current_Internal,,,,
mayada,CC40100,Heller School for Social Policy and Management,Current_Internal,Lecturer,,,
mayer,CC16700,Department of Mathematics,Current_Internal,,,,
mberger,CC11200,Department of Music,Current_Internal,,,,
mboumil,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
mboxer,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,,,,
mcaraccioli,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
mcclendo,CC11100,Department of Fine Arts,Current_Internal,,,,
mcclendo,CC26600,Interdepartmental Program in Italian Studies,Current_Internal,,,,
mcclendo,CC27100,Medieval and Renaissance Studies Program,Current_Internal,,,,
mcharnerlaird,CC25000,Education Program,Current_Internal,,,,
mckittr,CC11400,Department of Theater Arts,Current_Internal,,,,
mcpeacock,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
mduran,CC12500,Department of Romance Studies,Current_Internal,,,,
mduran,CC26800,Latin American and Latino Studies Program,Current_Internal,,,,
mead,CC11200,Department of Music,Current_Internal,Professor of the Practice,,,
mead,CC27100,Medieval and Renaissance Studies Program,Current_Internal,,,,
meden,CC18400,Department of Economics,Current_Internal,,,,
meden,CC43100,International Business School,Current_Internal,,,,
mederos,CC12500,Department of Romance Studies,Current_Internal,,,,
meneva17,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
mengnansunny,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
mepandelia,CC16100,Department of Biochemistry,Current_Internal,,,,
mepandelia,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
merrill2,CC16700,Department of Mathematics,Current_Internal,,,,
meschede,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
mew,CC40100,Heller School for Social Policy and Management,Current_Internal,Senior Lecturer,,,
meyer,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
mfc,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
mfc,CC16600,Michtom School of Computer Science,Current_Internal,,,,
mfeeney,CC18200,American Studies Program,Current_Internal,,,,
mfitzd,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
mgkatz,CC18400,Department of Economics,Current_Internal,,,,
mgkatz,CC43100,International Business School,Current_Internal,Adjunct Professor,Adjunct Professor in the Brandeis International Business School,,
mhurd,CC11400,Department of Theater Arts,Current_Internal,Lecturer,,,
michaelgauthier,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
mirosen,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,,,,
mirsky,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
mkrumpak,CC16700,Department of Mathematics,Current_Internal,,,,
mlevenso,CC25000,Education Program,Current_Internal,,,,
mlevenso,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
mmarr,CC16200,Department of Biology,Current_Internal,,,,
mmarr,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
mmckay,CC43100,International Business School,Current_Internal,,,,
mmeteer,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
mmeteer,CC26900,Linguistics and Computational Linguistics,Current_Internal,,,,
mmeteer,CC16600,Michtom School of Computer Science,Current_Internal,,,,
mmiara,CC16200,Department of Biology,Current_Internal,,,,
mmitra,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
mmunsell,CC43100,International Business School,Current_Internal,,,,
mnourse,CC12450,University Writing Program,Current_Internal,,,,
molinsky,CC18700,Department of Psychology,Current_Internal,,,,
molinsky,CC43100,International Business School,Current_Internal,,,,
monifahie,CC16200,Department of Biology,Current_Internal,,,,
monsky,CC16700,Department of Mathematics,Current_Internal,,,,
moody,CC11400,Department of Theater Arts,Current_Internal,,,,
mooneyd,CC27900,"Creativity, the Arts, and Social Transformation Program",Current_Internal,,,,
mooneyd,CC25900,"Film, Television and Interactive Media Program",Current_Internal,,,,
motoikatsumata,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
motoikatsumata,CC25600,East Asian Studies Program,Current_Internal,Visiting Professor,Madeleine Haas Russell Visiting Professor in the East Asian Studies Program,,
mpapa,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
mpetit,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
mpetit,CC43100,International Business School,Current_Internal,,,,
mrazavi,CC40100,Heller School for Social Policy and Management,Current_Internal,,Scientist and Lecturer,,
msokolof,CC25000,Education Program,Current_Internal,Lecturer,,,
mstewart,CC40100,Heller School for Social Policy and Management,Current_Internal,Lecturer,,,
mstrand,CC18800,Department of Sociology,Current_Internal,Assistant Professor,,,
mtamaki,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Lecturer,,,
mtm,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
muellner,CC12100,Department of Classical Studies,Current_Internal,,,,
mullerh,CC18500,Department of History,Current_Internal,,,,
mullerh,CC26300,International and Global Studies Program,Current_Internal,,,,
mullerh,CC18320,South Asian Studies Program,Current_Internal,,,,
murray,CC16500,Department of Chemistry,Current_Internal,,,,
musegade,CC18200,American Studies Program,Current_Internal,,,,
musegade,CC11200,Department of Music,Current_Internal,,,,
mvenezia,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
mwhoward,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor Emeritus/a,,,
nanarm,ND_INST,Brandeis University,Current_Internal,Adjunct Assistant Professor,,,
nanarm,CC11400,Department of Theater Arts,Current_Internal,,,,
nblumberg,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
nboyson,CC43100,International Business School,Current_Internal,,,,
negreene,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Lecturer,,,
neilswidey,CC26700,Journalism Program,Current_Internal,Professor,,,
nelson,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
nelson,CC16200,Department of Biology,Current_Internal,,Gyula and Katica Tauber Professor of Life Science,,
nelson,CC27200,Neuroscience Program,Current_Internal,,,,
nesa,CC18400,Department of Economics,Current_Internal,Senior Lecturer,,,
nhabibi,CC18400,Department of Economics,Current_Internal,Senior Lecturer,,,
nhabibi,CC43100,International Business School,Current_Internal,Professor,,,
nicastro,CC16200,Department of Biology,Current_Internal,,,,
niels,CC16100,Department of Biochemistry,Current_Internal,,,,
nieren,CC43100,International Business School,Current_Internal,,,,
nieske,CC11200,Department of Music,Current_Internal,,,,
nikkola,CC27700,Graduate Program in Genetic Counseling,Current_Internal,,,,
nlau,CC16200,Department of Biology,Current_Internal,Visiting Professor,Visiting Assistant Professor of Biology,,
nmalik88,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
nmenon,CC18400,Department of Economics,Current_Internal,,,,
nmenon,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
nmenon,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
nmenon,CC43100,International Business School,Current_Internal,,,,
nmenon,CC18320,South Asian Studies Program,Current_Internal,,,,
nobleal,CC27700,Graduate Program in Genetic Counseling,Current_Internal,,,,
nobleal,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
noonze,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
novack,CC16500,Department of Chemistry,Current_Internal,,,,
nyangoni,CC18100,Department of African and African American Studies,Current_Internal,,,,
nyangoni,CC18600,Department of Politics,Current_Internal,,,,
odonnell,CC12450,University Writing Program,Current_Internal,,,,
offen,CC16700,Department of Mathematics,Current_Internal,,,,
olesen,CC11200,Department of Music,Current_Internal,,,,
olmanda,CC12500,Department of Romance Studies,Current_Internal,Lecturer,,,
opapaemm,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
opapaemm,CC16600,Michtom School of Computer Science,Current_Internal,,,,
oprian,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
oprian,CC16100,Department of Biochemistry,Current_Internal,,,,
oprian,CC27200,Neuroscience Program,Current_Internal,,,,
ospinaleon,CC12500,Department of Romance Studies,Current_Internal,,,,
palais,CC16700,Department of Mathematics,Current_Internal,,,,
palvarez,CC18300,Department of Anthropology,Current_Internal,,,,
pamjoshi,ND_INST,Brandeis University,Current_Internal,Director,"Associate Director of the Institute on Children, Youth and Families",,
pamjoshi,CC40100,Heller School for Social Policy and Management,Current_Internal,Senior Scientist,Senior Scientist and Lecturer,,
panick,CC26900,Linguistics and Computational Linguistics,Current_Internal,,,,
panick,CC16600,Michtom School of Computer Science,Current_Internal,,,,
paradis,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
paradis,CC16200,Department of Biology,Current_Internal,,,,
paradis,CC27200,Neuroscience Program,Current_Internal,,,,
parker,CC16700,Department of Mathematics,Current_Internal,,,,
parmenti,CC18300,Department of Anthropology,Current_Internal,,,,
paultherrien,CC43100,International Business School,Current_Internal,,,,
pdixon,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
penning,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
pepstein,CC12300,Department of Philosophy,Current_Internal,,,,
perlman,CC16200,Department of Biology,Current_Internal,,,,
perlman,CC25700,Environmental Studies Program,Current_Internal,,,,
perloff,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
petsko,CC16100,Department of Biochemistry,Current_Internal,,,,
pfirchow,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
pgamsby,CC12300,Department of Philosophy,Current_Internal,,,,
pgarrity,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
pgarrity,CC16200,Department of Biology,Current_Internal,Professor,Professor of Biology,,
pgarrity,CC27200,Neuroscience Program,Current_Internal,,,,
pgould,CC27300,"Peace, Conflict, and Coexistence Studies Program",Current_Internal,Lecturer,,,
pjankows,CC18500,Department of History,Current_Internal,Professor,,,
pjankows,CC26300,International and Global Studies Program,Current_Internal,,,,
pkalb,CC11100,Department of Fine Arts,Current_Internal,Associate Professor,Cynthia L. and Theodore S. Berenson Associate Professor of Contemporary Art,,
pkalb,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
pkasili,CC30800,Myra Kraft Transitional Year Program,Current_Internal,Instructor,Instructor in the Myra Kraft Transitional Year Program,,
plotz,CC12400,Department of English,Current_Internal,,,,
plotz,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
pmay,CC26700,Journalism Program,Current_Internal,,,,
pme89,CC12450,University Writing Program,Current_Internal,,,,
pmenoret,CC18300,Department of Anthropology,Current_Internal,Professor,,,
pmiller,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
pmiller,CC16200,Department of Biology,Current_Internal,,,,
pmiller,CC16600,Michtom School of Computer Science,Current_Internal,,,,
pmiller,CC27200,Neuroscience Program,Current_Internal,,,,
pmistark,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
pmorriso,CC12400,Department of English,Current_Internal,,,,
pmorriso,CC25900,"Film, Television and Interactive Media Program",Current_Internal,,,,
pochapsk,CC16500,Department of Chemistry,Current_Internal,,,,
pochapsk,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
pollack,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
pollack,CC16600,Michtom School of Computer Science,Current_Internal,,,,
polonsky,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
ppetri,CC18400,Department of Economics,Current_Internal,,,,
ppichler,CC43100,International Business School,Current_Internal,,,,
pquint,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
pratisthaj,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Lecturer,Adjunct Lecturer,,
press,CC16200,Department of Biology,Current_Internal,,,,
professorrue,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
prottas,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
proychoudhury,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
pstock,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
pstock,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Associate Professor,,,
pstock,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
pvzljr,CC12400,Department of English,Current_Internal,,,,
pwang,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
pwang,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
pwang,CC25600,East Asian Studies Program,Current_Internal,,,,
pwang,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
pwells,CC43100,International Business School,Current_Internal,Senior Lecturer,,,
qiangwang,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
qsxia,CC43100,International Business School,Current_Internal,Professor,,,
quinney,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
quinney,CC12400,Department of English,Current_Internal,,,,
quinney,CC25800,Interdepartmental Program in European Cultural Studies,Current_Internal,,,,
r2evans,CC18400,Department of Economics,Current_Internal,,,,
rachelmoody,CC25000,Education Program,Current_Internal,,,,
rahulkrishna,CC16700,Department of Mathematics,Current_Internal,Instructor,Instructor in Mathematics,,
rakowski,CC11200,Department of Music,Current_Internal,,Walter W. Naumburg Professor of Composition,,
ralterma,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
ralterma,CC18700,Department of Psychology,Current_Internal,,,,
ralterma,CC16600,Michtom School of Computer Science,Current_Internal,,,,
randall,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
randall,CC12500,Department of Romance Studies,Current_Internal,,,,
randall,CC25800,Interdepartmental Program in European Cultural Studies,Current_Internal,,,,
randall,CC26300,International and Global Studies Program,Current_Internal,,,,
randall,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
randall,CC27100,Medieval and Renaissance Studies Program,Current_Internal,,,,
rangell,CC43100,International Business School,Current_Internal,,,,
raquelsaenz,CC18800,Department of Sociology,Current_Internal,Lecturer,,,
rashann,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
ratzlaff,CC12100,Department of Classical Studies,Current_Internal,,,,
ravid,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
rbkramer,CC25000,Education Program,Current_Internal,Senior Lecturer,Senior Lecturer in Education and Elementary Faculty Leader,,
rbolton,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
rclarke,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
rduff,CC11200,Department of Music,Current_Internal,,,,
redenius,CC18400,Department of Economics,Current_Internal,,,,
reif,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
reimer,CC25000,Education Program,Current_Internal,,,,
reimer,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,,,,
reinharz,CC18800,Department of Sociology,Current_Internal,,,,
ren,CC16200,Department of Biology,Current_Internal,,,,
ren,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
rfmiller,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
rfmiller,CC12400,Department of English,Current_Internal,,,,
rfmiller,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
rfmiller,CC26200,History of Ideas Program,Current_Internal,,,,
rfmiller,CC25800,Interdepartmental Program in European Cultural Studies,Current_Internal,,,,
rfmiller,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
rgodoy,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,Professor of International Development,,
rgreenbe,CC12300,Department of Philosophy,Current_Internal,Professor,,,
rheda0001,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
rherriman,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
rimaf,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
ringe,CC16100,Department of Biochemistry,Current_Internal,,,,
ringe,CC16500,Department of Chemistry,Current_Internal,,,,
ringe,CC27200,Neuroscience Program,Current_Internal,,,,
ringe,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
ritter,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
rivo,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
rkabrhel,CC25100,Legal Studies Program,Current_Internal,Lecturer,Lecturer in Legal Studies,,
rmarshal,CC11200,Department of Music,Current_Internal,,,,
rmorrone,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
roberts,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
rohleder,CC18700,Department of Psychology,Current_Internal,,,,
rosbash,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
rosbash,CC16200,Department of Biology,Current_Internal,Professor,Professor of Biology,,
rosbash,CC27200,Neuroscience Program,Current_Internal,,Peter Gruber Endowed Chair,,
rpod,CC43100,International Business School,Current_Internal,,,,
rpsalas,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Professor,,,
rpsalas,CC16600,Michtom School of Computer Science,Current_Internal,Professor,,,
rreitano,CC43100,International Business School,Current_Internal,,,,
rsampath,CC40100,Heller School for Social Policy and Management,Current_Internal,Associate Professor,,,
rsampath,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
rsampath,CC18320,South Asian Studies Program,Current_Internal,,,,
rschroeder,CC18300,Department of Anthropology,Current_Internal,Professor,Professor of Geography in the Department of Anthropology,,
rspack,CC30800,Myra Kraft Transitional Year Program,Current_Internal,Instructor,,,
rtannen,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Lecturer,,,
rtorrey,CC16700,Department of Mathematics,Current_Internal,Associate Professor,,,
ruberman,CC16700,Department of Mathematics,Current_Internal,Professor,,,
ruesch,CC12450,University Writing Program,Current_Internal,Lecturer,,,
rwalsh,CC11400,Department of Theater Arts,Current_Internal,Associate Professor of the Practice,,,
ryang,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
saaschec,CC18200,American Studies Program,Current_Internal,,,,
saler,CC18300,Department of Anthropology,Current_Internal,Professor Emeritus/a,,,
salmeida,CC11100,Department of Fine Arts,Current_Internal,,,,
samet,CC12300,Department of Philosophy,Current_Internal,Associate Professor,,,
samet,CC18700,Department of Psychology,Current_Internal,,,,
sarashank,CC43100,International Business School,Current_Internal,,,,
sarna,CC18500,Department of History,Current_Internal,Professor,Joseph H. and Belle R. Braun Professor of American Jewish History,,
sarna,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Professor,Joseph H. and Belle R. Braun Professor of American Jewish History,,
sathomas,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
saxe,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,Professor,Klutznick Professor of Contemporary Jewish Studies,,
sberhane,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
sberhane,CC43100,International Business School,Current_Internal,,,,
sbrown,CC18600,Department of Politics,Current_Internal,,,,
schagant,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
schnitzr,CC16800,Martin A. Fisher School of Physics,Current_Internal,Professor,"Edward & Gertrude Swartz Professor of Theoretical Physics, Emeritus",,
schoenle,CC18400,Department of Economics,Current_Internal,Associate Professor,,,
schoenle,CC43100,International Business School,Current_Internal,,,,
schrecke,CC18500,Department of History,Current_Internal,,,,
schulz,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
schumann,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
schwalbe,CC18400,Department of Economics,Current_Internal,Professor Emeritus/a,,,
schwarz,CC16700,Department of Mathematics,Current_Internal,Professor Emeritus/a,,,
sciolla,CC16800,Martin A. Fisher School of Physics,Current_Internal,Professor,Professor of Physics,,
scott,CC11100,Department of Fine Arts,Current_Internal,Professor,,,
scott,CC12500,Department of Romance Studies,Current_Internal,Professor,,,
scott,CC25800,Interdepartmental Program in European Cultural Studies,Current_Internal,Professor,,,
scott,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,Professor,,,
scuri,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,,,,
scuri,CC25100,Legal Studies Program,Current_Internal,,,,
sdeptula,CC11400,Department of Theater Arts,Current_Internal,,,,
sdupree,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
seaton,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
sekuler,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Professor,Professor of Neuroscience,,
sekuler,CC18700,Department of Psychology,Current_Internal,Professor,Louis and Frances Salvage Professor of Psychology,,
sekuler,CC27200,Neuroscience Program,Current_Internal,Professor,Professor of Neuroscience,,
sengupta,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Professor,Professor of Neurobiology,,
sengupta,CC16200,Department of Biology,Current_Internal,Professor,Professor of Neurobiology,,
sengupta,CC27200,Neuroscience Program,Current_Internal,Professor,Professor of Neurobiology,,
servino,CC12500,Department of Romance Studies,Current_Internal,Associate Professor,,,
sethi,CC12300,Department of Philosophy,Current_Internal,Assistant Professor,,,
sfein,CC12450,University Writing Program,Current_Internal,,,,
sfeldman,CC18600,Department of Politics,Current_Internal,,,,
sfreedma,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
sgent0001,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
sh40,CC18100,Department of African and African American Studies,Current_Internal,Professor,,,
sh40,CC11100,Department of Fine Arts,Current_Internal,,,,
shantanu,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
shantanu,CC18700,Department of Psychology,Current_Internal,Assistant Professor,,,
shantanu,CC27200,Neuroscience Program,Current_Internal,,,,
shashayang,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Lecturer,,,
shaw1892,CC43100,International Business School,Current_Internal,,,,
sheehy,Library,Library,Current_Internal,,Brandeis National Committee University Librarian,,
shepard,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
sheppard,CC18500,Department of History,Current_Internal,Associate Professor,"Chair of the Department of Near Eastern and Judaic Studies, Associate Professor of Modern Jewish History and Thought, Associate Director of the Tauber Institute for the Study of European Jewry, and associate editor of the Tauber Institute Series with Brandeis University Press.",,
